,Age,CompFreq,CompTotal,ConvertedComp,Country,Gender,YearsCode
7,36.0,Yearly,116000.0,116000.0,United States,Man,17
9,22.0,Yearly,25000.0,32315.0,United Kingdom,Man,8
10,23.0,Yearly,31000.0,40070.0,United Kingdom,Man,10
11,49.0,Monthly,1100.0,14268.0,Spain,Man,7
12,53.0,Monthly,3000.0,38916.0,Netherlands,Man,35
13,27.0,Yearly,66000.0,66000.0,United States,Man,5
15,45.0,Monthly,7000.0,108576.0,United Kingdom,Man,37
16,25.0,Yearly,79000.0,79000.0,United States,Man,7
18,24.0,Yearly,83400.0,83400.0,United States,Man,9
23,45.0,Yearly,85000.0,91883.0,Germany,Man,30
31,31.0,Monthly,3500.0,31764.0,Canada,Man,19
32,39.0,Monthly,4900.0,63564.0,Belgium,Man,20
35,34.0,Yearly,60000.0,77556.0,United Kingdom,Man,4
37,35.0,Yearly,90000.0,97288.0,Italy,Man,20
41,32.0,Yearly,130000.0,130000.0,United States,Man,16
43,32.0,Yearly,244000.0,55893.0,Brazil,Man,10
44,22.0,Yearly,34000.0,36753.0,France,Man,9
45,24.0,Yearly,35000.0,37834.0,France,Man,6
46,53.0,Yearly,58000.0,74970.0,United Kingdom,Man,43
47,38.0,Yearly,125000.0,125000.0,United States,Man,8
48,23.0,Yearly,52000.0,52000.0,United States,Man,8
51,28.0,Yearly,70000.0,90482.0,United Kingdom,Man,11
53,44.0,Yearly,160000.0,160000.0,United States,Man,38
58,38.0,Monthly,6000.0,16488.0,Brazil,Man,24
63,34.0,Yearly,73000.0,94359.0,United Kingdom,Man,20
66,35.0,Yearly,250000.0,250000.0,United States,Man,30
69,25.0,Yearly,18500.0,23913.0,United Kingdom,Man,6
73,34.0,Monthly,8000.0,124092.0,United Kingdom,Man,17
78,28.0,Yearly,50000.0,37816.0,Canada,Man,10
79,32.0,Yearly,94500.0,94500.0,United States,Man,21
81,48.0,Yearly,117000.0,117000.0,United States,Man,37
82,20.0,Monthly,1000.0,3036.0,Poland,Man,2
85,26.0,Weekly,2000.0,108100.0,France,Man,5
88,28.0,Yearly,130000.0,130000.0,United States,Woman,6
89,28.0,Monthly,70000000.0,61476.0,Indonesia,Man,3
90,31.0,Yearly,53000.0,57292.0,France,Man,19
91,42.0,Yearly,20000.0,21620.0,Greece,Man,24
92,21.0,Yearly,50000.0,37816.0,Canada,Man,9
94,29.0,Monthly,10000.0,35028.0,Israel,Man,3
95,30.0,Yearly,100000.0,75631.0,Canada,Woman,17
96,29.0,Monthly,80000.0,41568.0,Czech Republic,Man,10
97,30.0,Yearly,105000.0,79413.0,Canada,,15
98,42.0,Yearly,93000.0,93000.0,United States,"Man;Non-binary, genderqueer, or gender non-conforming",27
103,28.0,Yearly,40000.0,40000.0,United States,Man,6
104,24.0,Monthly,3550.0,46044.0,Germany,Man,12
105,29.0,Yearly,148000.0,148000.0,United States,Woman,5
108,45.0,Yearly,130000.0,130000.0,United States,Man,30
110,28.0,Yearly,65000.0,65000.0,United States,Man,11
113,23.0,Yearly,78800.0,78800.0,United States,Man,9
115,30.0,Yearly,90000.0,116333.0,United Kingdom,Man,19
117,35.0,Yearly,145000.0,145000.0,United States,Man,16
118,24.0,Yearly,57000.0,61616.0,Germany,Man,10
119,26.0,Yearly,145000.0,145000.0,United States,Man,8
120,23.0,Yearly,85000.0,109871.0,United Kingdom,Man,10
122,38.0,Yearly,0.0,0.0,United States,Man,24
124,35.0,Yearly,145000.0,145000.0,United States,Man,9
126,23.0,Yearly,80000.0,80000.0,United States,Woman,5
129,37.0,Yearly,115000.0,115000.0,United States,Man,5
130,38.0,Monthly,1200.0,15564.0,Spain,Man,5
132,30.0,Weekly,3250.0,210050.0,United Kingdom,Man,20
136,25.0,Yearly,215000.0,215000.0,United States,Man,4
137,30.0,Yearly,45000.0,45000.0,United States,Woman,13
140,27.0,Yearly,53000.0,53000.0,United States,Man,3
141,25.0,Yearly,97500.0,97500.0,United States,Man,15
142,32.0,Yearly,75000.0,75000.0,United States,Man,16
143,26.0,Yearly,25000.0,32315.0,United Kingdom,Man,4
144,33.0,Yearly,580000.0,59320.0,Sweden,Man,21
145,28.0,Yearly,50000.0,37816.0,Canada,Man,5
146,34.0,Monthly,4200.0,54480.0,Germany,Man,10
147,36.0,Yearly,21000000.0,293196.0,India,Man,5
149,35.0,Monthly,20000.0,9792.0,Ukraine,Man,8
150,30.0,Monthly,10000.0,121980.0,Switzerland,Man,14
151,30.0,Yearly,90000.0,90000.0,United States,Man,6
152,42.0,Yearly,150000.0,150000.0,United States,Man,30
153,43.0,Yearly,80000.0,80000.0,United States,Man,33
154,25.0,Yearly,125000.0,125000.0,United States,,8
155,26.0,Yearly,85000.0,64287.0,Canada,Man,6
